t;x;y
0.0000;807;1123
0.0500;659;614
0.1000;689;362
0.1500;757;257
0.2000;874;149
0.2500;995;102
0.3000;1145;78
0.3500;1295;56
0.4000;1453;84
0.4500;1570;53
0.5000;1700;64
0.5500;1794;92
0.6000;1853;88
0.6500;1895;142
0.7000;1889;130
0.7500;1898;143
0.8000;1861;182
0.8500;1838;192
0.9000;1781;219
0.9500;1718;236
1.0000;1671;267
1.0500;1627;240
1.1000;1597;258
1.1500;1587;263
1.2000;1562;235
1.2500;1537;237
1.3000;1579;222
1.3500;1562;242
1.4000;1582;222
1.4500;1575;220
1.5000;1585;211
1.5500;1594;216
1.6000;1602;206
1.6500;1629;187
1.7000;1608;213
1.7500;1645;204
1.8000;1600;214
1.8500;1621;228
1.9000;1603;214
1.9500;1621;203
2.0000;1598;216
2.0500;1614;239
2.1000;1600;233
2.1500;1630;228
2.2000;1618;234
2.2500;1624;214
2.3000;1603;207
2.3500;1595;211
2.4000;1593;215
2.4500;1612;203
2.5000;1620;219
